GICs industry group,weighted_beta
Automobiles & Components,1.1311525794051898
Banks,1.0014809807423006
Capital Goods,0.9099567935722183
Class Pend,1.669719163588071
Commercial & Professional Services,0.7800113210664875
Consumer Discretionary Distribution & Retail,0.9825524600056665
Consumer Durables & Apparel,1.0938078567209268
Consumer Services,0.9363588553089106
Consumer Staples Distribution & Retail,0.503096945693974
Energy,1.0282868425662293
Equity Real Estate Investment Trusts (REITs),1.046556544211197
Financial Services,1.3141430087693993
"Food, Beverage & Tobacco",0.6414310699034725
Health Care Equipment & Services,0.7240078018435547
Household & Personal Products,0.5285055920527294
Insurance,0.7397004388013565
Materials,1.0750260251119568
Media & Entertainment,0.8706844402831332
Not Applic,0.39524811934156545
"Pharmaceuticals, Biotechnology & Life Sciences",0.8464389618170871
Real Estate Management & Development,0.6793945325275533
Semiconductors & Semiconductor Equipment,1.3410818066852537
Software & Services,1.2989843852591967
Technology Hardware & Equipment,1.0560303637662039
Telecommunication Services,0.5010118507198312
Transportation,0.6784790528331082
Utilities,0.4601340731469821
